Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers,Num Studies,Total females in studies,Total males in studies,Female proportion in studies,Male proportion in studies,Most relevant studies,Number of participants in most relevant studies,Number of female participants in most relevant studies,Number of male participants in most relevant studies,Proportion of females in most relevant studies,Proportion of males in most relevant studies,Prevalence Men,Prevalence Women,Prevalence Both Genders
METOLAZONE,HEART FAILURE,44,125,26.04,73.96,97.73,100.0,"['NCT03746002', 'NCT00690521', 'NCT01817803', 'NCT05904808', 'NCT02646540', 'NCT05986773', 'NCT02047422', 'NCT00904488', 'NCT06273397', 'NCT02620384', 'NCT03574857', 'NCT05633758', 'NCT04438213', 'NCT06414759', 'NCT04163588', 'NCT04860011', 'NCT02606253', 'NCT06166654']",18.0,156.0,256.0,37.86,62.14,"['NCT02620384', 'NCT02606253', 'NCT00904488']",406,154,252,37.93103448275862,62.06896551724138,4.002727272727273,2.9054545454545457,3.4131818181818185
CAPTOPRIL,HEART FAILURE,6,6,50.0,50.0,100.0,100.0,"['NCT00391846', 'NCT06039540', 'NCT00292162', 'NCT01437371']",4.0,162.0,424.0,27.65,72.35,"['NCT00391846', 'NCT00292162']",586,162,424,27.64505119453925,72.35494880546075,4.002727272727273,2.9054545454545457,3.4131818181818185
CARVEDILOL,HEART FAILURE,359,303,54.23,45.77,98.05,100.0,"['NCT00123903', 'NCT00391846', 'NCT00292162', 'NCT00402376', 'NCT01261065', 'NCT00384566', 'NCT02619526', 'NCT00052026', 'NCT00517725', 'NCT00214318', 'NCT05179070', 'NCT02012075', 'NCT00323037', 'NCT03948685', 'NCT06035978', 'NCT02137733', 'NCT00924833', 'NCT00433043', 'NCT00742508', 'NCT04996550', 'NCT01724450', 'NCT05553314', 'NCT04023110', 'NCT01557140', 'NCT03209180', 'NCT01484327', 'NCT00381030', 'NCT00129363', 'NCT00344513', 'NCT01178528', 'NCT00272805']",31.0,390.0,1050.0,27.08,72.92,"['NCT00323037', 'NCT00391846', 'NCT00292162']",1222,356,866,29.132569558101476,70.86743044189852,4.002727272727273,2.9054545454545457,3.4131818181818185
RAMIPRIL,HEART FAILURE,21,3,87.5,12.5,95.24,33.33,"['NCT00391846', 'NCT00292162', 'NCT00923156', 'NCT05508035', 'NCT01437371']",5.0,214.0,618.0,25.72,74.28,"['NCT00391846', 'NCT00923156', 'NCT00292162']",832,214,618,25.721153846153843,74.27884615384616,4.002727272727273,2.9054545454545457,3.4131818181818185
VALSARTAN,HEART FAILURE,30,45,40.0,60.0,83.33,95.56,"['NCT03553303', 'NCT04191681', 'NCT00391846', 'NCT02970669', 'NCT03168568', 'NCT05448872', 'NCT05387967', 'NCT04128891', 'NCT02874794', 'NCT02916160', 'NCT04023227', 'NCT03300427', 'NCT04107220', 'NCT02966665', 'NCT00294086', 'NCT03387163', 'NCT04743063', 'NCT04218435', 'NCT03928158', 'NCT03988634', 'NCT05117736', 'NCT02816736', 'NCT04153136', 'NCT03415906', 'NCT02884206', 'NCT06218199', 'NCT05279742', 'NCT03552575', 'NCT04575675', 'NCT05870709', 'NCT06266988', 'NCT06035978', 'NCT01920711', 'NCT04133428', 'NCT00133328', 'NCT05487261', 'NCT06142383', 'NCT02887183', 'NCT03785405', 'NCT00241098', 'NCT04587947', 'NCT04103554', 'NCT04735354', 'NCT05168787', 'NCT03005184', 'NCT05991284', 'NCT04397302', 'NCT02554890', 'NCT04185103', 'NCT05989503', 'NCT05096143', 'NCT03119623', 'NCT05580510', 'NCT06149104', 'NCT03066804', 'NCT05613140', 'NCT04498780', 'NCT06053580', 'NCT04688294', 'NCT00149227', 'NCT05465031', 'NCT05881720', 'NCT05096039', 'NCT05508035', 'NCT04572724', 'NCT00171106', 'NCT05243199', 'NCT04434170', 'NCT04803175', 'NCT04458285', 'NCT02788656', 'NCT02957409', 'NCT03760588', 'NCT00887588', 'NCT02900378', 'NCT05194111', 'NCT03279861', 'NCT02787798', 'NCT05164653', 'NCT04736433']",80.0,12188.0,15792.0,43.56,56.44,"['NCT01920711', 'NCT00149227', 'NCT03066804']",20838,10190,10648,48.90104616565889,51.09895383434111,4.002727272727273,2.9054545454545457,3.4131818181818185
SPIRONOLACTONE,HEART FAILURE,310,504,38.08,61.92,100.0,97.02,"['NCT05676684', 'NCT00773084', 'NCT02901184', 'NCT00094302', 'NCT01817803', 'NCT02585843', 'NCT04465123', 'NCT00391846', 'NCT00860340', 'NCT06039540', 'NCT01598740', 'NCT00292162', 'NCT02299726', 'NCT02047422', 'NCT00664222', 'NCT01973335', 'NCT00604006', 'NCT01586442', 'NCT00527059', 'NCT00206232', 'NCT00328809', 'NCT02429388', 'NCT06035978', 'NCT03682497', 'NCT04367051', 'NCT00123955', 'NCT00663195', 'NCT01069510', 'NCT04676646', 'NCT04618601', 'NCT03984591', 'NCT06021860', 'NCT04727073', 'NCT02823626', 'NCT00523757', 'NCT00811486', 'NCT00574119', 'NCT03344159', 'NCT06005259', 'NCT00125437', 'NCT01345656', 'NCT01130597', 'NCT02235077']",43.0,4195.0,4413.0,48.73,51.27,"['NCT00094302', 'NCT02235077', 'NCT00391846']",8114,3952,4162,48.70594035001232,51.29405964998768,4.002727272727273,2.9054545454545457,3.4131818181818185
HYDRALAZINE,HEART FAILURE,6,175,3.31,96.69,100.0,100.0,"['NCT06218199', 'NCT03514108', 'NCT01822808', 'NCT01516346', 'NCT04217135', 'NCT01255475']",6.0,26.0,62.0,29.55,70.45,['NCT01516346'],88,26,62,29.545454545454547,70.45454545454545,4.002727272727273,2.9054545454545457,3.4131818181818185
EPLERENONE,HEART FAILURE,55,85,39.29,60.71,100.0,92.94,"['NCT01115855', 'NCT00391846', 'NCT00232180', 'NCT00505336', 'NCT01586442', 'NCT04697485', 'NCT01807221', 'NCT03342690', 'NCT00293150', 'NCT00082589', 'NCT03984591', 'NCT01955694', 'NCT03923530', 'NCT06117722', 'NCT00108251']",15.0,2388.0,6951.0,25.57,74.43,"['NCT00232180', 'NCT01807221', 'NCT03342690']",8735,2218,6517,25.3921007441328,74.60789925586721,4.002727272727273,2.9054545454545457,3.4131818181818185
ATORVASTATIN,HEART FAILURE,152,195,43.8,56.2,100.0,99.49,"['NCT03186404', 'NCT03255044', 'NCT00233480', 'NCT06312748', 'NCT00505336', 'NCT01503671', 'NCT00585611', 'NCT05072054', 'NCT02943590', 'NCT00795912', 'NCT01925937']",11.0,304.0,348.0,46.63,53.37,"['NCT02943590', 'NCT00233480', 'NCT00585611']",652,304,348,46.62576687116564,53.37423312883436,4.002727272727273,2.9054545454545457,3.4131818181818185
IVABRADINE,HEART FAILURE,9,16,36.0,64.0,100.0,100.0,"['NCT00202579', 'NCT04405804', 'NCT02046044', 'NCT02973594', 'NCT04308031', 'NCT02188082', 'NCT03710057', 'NCT02086422', 'NCT05594342', 'NCT03387605', 'NCT03650205', 'NCT02247245', 'NCT02236247', 'NCT00757055', 'NCT03168529', 'NCT01868880', 'NCT03701880', 'NCT02166060', 'NCT02354573', 'NCT03830957', 'NCT01373619', 'NCT02441218', 'NCT04448899', 'NCT02827500', 'NCT03456856', 'NCT01796093', 'NCT01178528', 'NCT03631654']",28.0,3182.0,10176.0,23.82,76.18,"['NCT02441218', 'NCT02827500', 'NCT01178528']",13300,3150,10150,23.684210526315788,76.31578947368422,4.002727272727273,2.9054545454545457,3.4131818181818185
DOBUTAMINE,HEART FAILURE,16,0,100.0,0.0,100.0,-1.0,"['NCT03727282', 'NCT02767024', 'NCT00074724', 'NCT05700617', 'NCT01354613', 'NCT05594342', 'NCT05797584', 'NCT00338455', 'NCT00281255', 'NCT00348504', 'NCT01042873', 'NCT01375335', 'NCT01930734', 'NCT02888561']",14.0,8.0,24.0,25.0,75.0,"['NCT00338455', 'NCT00074724']",32,8,24,25.0,75.0,4.002727272727273,2.9054545454545457,3.4131818181818185
MILRINONE,HEART FAILURE,26,24,52.0,48.0,92.31,100.0,"['NCT02077010', 'NCT05700617', 'NCT01956006', 'NCT02408003', 'NCT00338455', 'NCT01849094', 'NCT05450328']",7.0,8.0,24.0,25.0,75.0,['NCT00338455'],32,8,24,25.0,75.0,4.002727272727273,2.9054545454545457,3.4131818181818185
DAPAGLIFLOZIN,HEART FAILURE,30,239,11.15,88.85,70.0,100.0,"['NCT06012279', 'NCT05676684', 'NCT02397421', 'NCT04385589', 'NCT06442280', 'NCT04304560', 'NCT04570865', 'NCT06434025', 'NCT03036124', 'NCT04869124', 'NCT03877224', 'NCT06365541', 'NCT03619213', 'NCT05330013', 'NCT04475042', 'NCT04564742', 'NCT04595370', 'NCT04575675', 'NCT06201000', 'NCT03877237', 'NCT04249778', 'NCT05250011', 'NCT05406505', 'NCT04730947', 'NCT04778787', 'NCT05776043', 'NCT05618223', 'NCT05719714', 'NCT04298229', 'NCT06065280', 'NCT05374291', 'NCT02653482', 'NCT06012266', 'NCT06304857', 'NCT04591639', 'NCT04200586', 'NCT04717986', 'NCT03030235', 'NCT05741658', 'NCT05550441', 'NCT04080518', 'NCT05795400', 'NCT05759000', 'NCT06307652', 'NCT04707352', 'NCT04739215', 'NCT05420285', 'NCT04640493', 'NCT04860011', 'NCT04707261', 'NCT04363697', 'NCT04782245', 'NCT05816733']",53.0,9064.0,16520.0,35.43,64.57,"['NCT03619213', 'NCT03036124', 'NCT03877224']",23022,8080,14942,35.09686386934237,64.90313613065763,4.002727272727273,2.9054545454545457,3.4131818181818185
SILDENAFIL,HEART FAILURE,14,48,22.58,77.42,100.0,0.0,"['NCT00309790', 'NCT01046838', 'NCT00793338', 'NCT00781508', 'NCT01616381', 'NCT00407446', 'NCT00818701', 'NCT01156636', 'NCT01936350', 'NCT00763867', 'NCT00975494', 'NCT01185925', 'NCT00309816', 'NCT01726049', 'NCT03460470', 'NCT02304705', 'NCT03356353']",17.0,310.0,312.0,49.84,50.16,"['NCT00763867', 'NCT01726049', 'NCT02304705']",602,308,294,51.16279069767442,48.837209302325576,4.002727272727273,2.9054545454545457,3.4131818181818185
LISINOPRIL,HEART FAILURE,14,0,100.0,0.0,100.0,-1.0,"['NCT00773084', 'NCT00123903', 'NCT00391846', 'NCT00292162', 'NCT03392740', 'NCT00000542', 'NCT01437371', 'NCT03422705']",8.0,162.0,424.0,27.65,72.35,"['NCT00391846', 'NCT00292162']",586,162,424,27.64505119453925,72.35494880546075,4.002727272727273,2.9054545454545457,3.4131818181818185
RIVAROXABAN,HEART FAILURE,29,65,30.85,69.15,100.0,100.0,"['NCT03490994', 'NCT03455439', 'NCT01877915', 'NCT02111564']",4.0,13770.0,20312.0,40.4,59.6,"['NCT02111564', 'NCT01877915']",34082,13770,20312,40.40255853529722,59.59744146470277,4.002727272727273,2.9054545454545457,3.4131818181818185
ALLOPURINOL,HEART FAILURE,10,13,43.48,56.52,100.0,100.0,"['NCT00919243', 'NCT00181155', 'NCT00997542', 'NCT02129764', 'NCT00281255', 'NCT00477789', 'NCT04327024', 'NCT00987415', 'NCT05888233']",9.0,206.0,631.0,24.61,75.39,"['NCT00987415', 'NCT04327024', 'NCT00181155']",837,206,631,24.611708482676224,75.38829151732378,4.002727272727273,2.9054545454545457,3.4131818181818185
METFORMIN,HEART FAILURE,18,7,72.0,28.0,100.0,100.0,"['NCT02797340', 'NCT01690091', 'NCT00473876', 'NCT05093959', 'NCT02810132', 'NCT04549415', 'NCT01217307', 'NCT03331861', 'NCT06080802', 'NCT03514108', 'NCT00325910', 'NCT03122769', 'NCT03629340', 'NCT01425580', 'NCT01122316', 'NCT01573949', 'NCT05177588']",17.0,203.0,698.0,22.53,77.47,"['NCT01217307', 'NCT00473876', 'NCT01122316']",894,202,692,22.595078299776286,77.40492170022371,4.002727272727273,2.9054545454545457,3.4131818181818185
ISOSORBIDE,HEART FAILURE,0,26,0.0,100.0,-1.0,100.0,"['NCT06400784', 'NCT06218199', 'NCT03514108', 'NCT01822808', 'NCT01516346', 'NCT05276219', 'NCT02053493']",7.0,152.0,156.0,49.35,50.65,"['NCT02053493', 'NCT01516346']",308,152,156,49.35064935064935,50.64935064935064,4.002727272727273,2.9054545454545457,3.4131818181818185
ISOSORBIDE DINITRATE,HEART FAILURE,10,6,62.5,37.5,100.0,100.0,"['NCT06400784', 'NCT06218199', 'NCT03514108', 'NCT01822808', 'NCT01516346', 'NCT05276219']",6.0,26.0,62.0,29.55,70.45,['NCT01516346'],88,26,62,29.545454545454547,70.45454545454545,4.002727272727273,2.9054545454545457,3.4131818181818185
WARFARIN,HEART FAILURE,0,16,0.0,100.0,-1.0,100.0,"['NCT03490994', 'NCT03704220', 'NCT03078374', 'NCT03781258', 'NCT04865978', 'NCT02836652', 'NCT00007683']",7.0,18.0,112.0,13.85,86.15,['NCT02836652'],130,18,112,13.846153846153848,86.15384615384616,4.002727272727273,2.9054545454545457,3.4131818181818185
