Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
HYDROCHLOROTHIAZIDE 25 MG AND METOPROLOL TARTRATE 100 MG ORAL TABLET,MYOCARDIAL INFARCTION,14,0,100,0,100,-1,[]
ASPIRIN                            ,MYOCARDIAL INFARCTION,30,5,85.71,14.29,100,0,"['NCT00000479', 'NCT00697021', 'NCT00684203', 'NCT00041938', 'NCT02018055', 'NCT05986968', 'NCT03729401', 'NCT00662467', 'NCT00000491', 'NCT05709626', 'NCT04753749', 'NCT01586975', 'NCT01739556', 'NCT05419583', 'NCT00501345', 'NCT03207451', 'NCT00915733', 'NCT02545933', 'NCT00557921', 'NCT02548650', 'NCT01321255', 'NCT04407312', 'NCT04097912', 'NCT04754789', 'NCT02893280', 'NCT05476991', 'NCT06254391', 'NCT02640794', 'NCT02531165', 'NCT03062826', 'NCT02635230', 'NCT03228017', 'NCT05122741', 'NCT00646906', 'NCT00272337', 'NCT01381185', 'NCT05709509', 'NCT02929888', 'NCT05577988', 'NCT02247128', 'NCT01559298', 'NCT04570345']"
MELOXICAM,MYOCARDIAL INFARCTION,0,17,0,100,-1,41.18,[]
VALSARTAN,MYOCARDIAL INFARCTION,0,19,0,100,-1,100,"['NCT02924727', 'NCT01340326', 'NCT03893435', 'NCT05060588', 'NCT04342351', 'NCT04149990', 'NCT04637555', 'NCT03309618']"
SACUBITRIL / VALSARTAN,MYOCARDIAL INFARCTION,25,0,100,0,100,-1,['NCT03893435']
ALOXIPRIN,MYOCARDIAL INFARCTION,0,39,0,100,-1,100,[]
FUROSEMIDE,HEART FAILURE,928,1483,38.49,61.51,96.77,99.12,"['NCT03746002', 'NCT05093621', 'NCT01817803', 'NCT05904808', 'NCT05962255', 'NCT00924014', 'NCT02877095', 'NCT02183792', 'NCT00937092', 'NCT03901729', 'NCT06442280', 'NCT04235062', 'NCT05986773', 'NCT02804282', 'NCT00115726', 'NCT02047422', 'NCT05652322', 'NCT00664222', 'NCT02767024', 'NCT03296813', 'NCT06218199', 'NCT00409942', 'NCT03837470', 'NCT02068937', 'NCT01942109', 'NCT01901809', 'NCT06167707', 'NCT00904488', 'NCT01060293', 'NCT03730961', 'NCT03359161', 'NCT04533997', 'NCT06273397', 'NCT04384653', 'NCT00982423', 'NCT05594823', 'NCT06036914', 'NCT01125514', 'NCT00663195', 'NCT06362668', 'NCT00355667', 'NCT06024889', 'NCT02689180', 'NCT00372762', 'NCT01558674', 'NCT02579057', 'NCT05379257', 'NCT03892148', 'NCT04628325', 'NCT02350725', 'NCT02804035', 'NCT00577135', 'NCT01549158', 'NCT02329834', 'NCT05276219', 'NCT03170219', 'NCT05840536', 'NCT06203236', 'NCT01140399', 'NCT02638142', 'NCT01028170', 'NCT00652652', 'NCT05419115', 'NCT02721511', 'NCT04464811', 'NCT02546583', 'NCT01441245', 'NCT01457053', 'NCT04691687']"
PMSCARVEDILOL,HEART FAILURE,0,11,0,100,-1,72.73,[]
DIGOXIN,HEART FAILURE,80,219,26.76,73.24,98.75,98.17,"['NCT02046044', 'NCT03783429', 'NCT04308031', 'NCT01398371', 'NCT02797145', 'NCT04778787', 'NCT01005602', 'NCT06240403', 'NCT01181414', 'NCT02544815', 'NCT01796093']"
METOPROLOL,HEART FAILURE,39,282,12.15,87.85,94.87,99.65,"['NCT04434664', 'NCT00123903', 'NCT03579914', 'NCT03882710', 'NCT00391846', 'NCT06039540', 'NCT00292162', 'NCT00384566', 'NCT00214318', 'NCT02012075', 'NCT05745337', 'NCT06035978', 'NCT00885651', 'NCT00433043', 'NCT04996550', 'NCT02938260', 'NCT03830957', 'NCT00077948', 'NCT01434134']"
METOLAZONE,HEART FAILURE,44,125,26.04,73.96,97.73,100,"['NCT03746002', 'NCT00690521', 'NCT01817803', 'NCT05904808', 'NCT02646540', 'NCT05986773', 'NCT02047422', 'NCT00904488', 'NCT06273397', 'NCT02620384', 'NCT03574857', 'NCT05633758', 'NCT04438213', 'NCT06414759', 'NCT04163588', 'NCT04860011', 'NCT02606253', 'NCT06166654']"
AMIODARONE,HEART FAILURE,18,0,100,0,100,-1,"['NCT00000609', 'NCT01850277', 'NCT01181414', 'NCT00729911']"
CAPTOPRIL,HEART FAILURE,6,6,50,50,100,100,"['NCT00391846', 'NCT06039540', 'NCT00292162', 'NCT01437371']"
CARVEDILOL,HEART FAILURE,359,303,54.23,45.77,98.05,100,"['NCT00123903', 'NCT00391846', 'NCT00292162', 'NCT00402376', 'NCT01261065', 'NCT00384566', 'NCT02619526', 'NCT00052026', 'NCT00517725', 'NCT00214318', 'NCT05179070', 'NCT02012075', 'NCT00323037', 'NCT03948685', 'NCT06035978', 'NCT02137733', 'NCT00924833', 'NCT00433043', 'NCT00742508', 'NCT04996550', 'NCT01724450', 'NCT05553314', 'NCT04023110', 'NCT01557140', 'NCT03209180', 'NCT01484327', 'NCT00381030', 'NCT00129363', 'NCT00344513', 'NCT01178528', 'NCT00272805']"
RAMIPRIL,HEART FAILURE,21,3,87.5,12.5,95.24,33.33,"['NCT00391846', 'NCT00292162', 'NCT00923156', 'NCT05508035', 'NCT01437371']"
VALSARTAN,HEART FAILURE,30,45,40,60,83.33,95.56,"['NCT03553303', 'NCT04191681', 'NCT00391846', 'NCT02970669', 'NCT03168568', 'NCT05448872', 'NCT05387967', 'NCT04128891', 'NCT02874794', 'NCT02916160', 'NCT04023227', 'NCT03300427', 'NCT04107220', 'NCT02966665', 'NCT00294086', 'NCT03387163', 'NCT04743063', 'NCT04218435', 'NCT03928158', 'NCT03988634', 'NCT05117736', 'NCT02816736', 'NCT04153136', 'NCT03415906', 'NCT02884206', 'NCT06218199', 'NCT05279742', 'NCT03552575', 'NCT04575675', 'NCT05870709', 'NCT06266988', 'NCT06035978', 'NCT01920711', 'NCT04133428', 'NCT00133328', 'NCT05487261', 'NCT06142383', 'NCT02887183', 'NCT03785405', 'NCT00241098', 'NCT04587947', 'NCT04103554', 'NCT04735354', 'NCT05168787', 'NCT03005184', 'NCT05991284', 'NCT04397302', 'NCT02554890', 'NCT04185103', 'NCT05989503', 'NCT05096143', 'NCT03119623', 'NCT05580510', 'NCT06149104', 'NCT03066804', 'NCT05613140', 'NCT04498780', 'NCT06053580', 'NCT04688294', 'NCT00149227', 'NCT05465031', 'NCT05881720', 'NCT05096039', 'NCT05508035', 'NCT04572724', 'NCT00171106', 'NCT05243199', 'NCT04434170', 'NCT04803175', 'NCT04458285', 'NCT02788656', 'NCT02957409', 'NCT03760588', 'NCT00887588', 'NCT02900378', 'NCT05194111', 'NCT03279861', 'NCT02787798', 'NCT05164653', 'NCT04736433']"
SPIRONOLACTONE,HEART FAILURE,310,504,38.08,61.92,100,97.02,"['NCT05676684', 'NCT00773084', 'NCT02901184', 'NCT00094302', 'NCT01817803', 'NCT02585843', 'NCT04465123', 'NCT00391846', 'NCT00860340', 'NCT06039540', 'NCT01598740', 'NCT00292162', 'NCT02299726', 'NCT02047422', 'NCT00664222', 'NCT01973335', 'NCT00604006', 'NCT01586442', 'NCT00527059', 'NCT00206232', 'NCT00328809', 'NCT02429388', 'NCT06035978', 'NCT03682497', 'NCT04367051', 'NCT00123955', 'NCT00663195', 'NCT01069510', 'NCT04676646', 'NCT04618601', 'NCT03984591', 'NCT06021860', 'NCT04727073', 'NCT02823626', 'NCT00523757', 'NCT00811486', 'NCT00574119', 'NCT03344159', 'NCT06005259', 'NCT00125437', 'NCT01345656', 'NCT01130597', 'NCT02235077']"
CANRENOIC ACID,HEART FAILURE,14,16,46.67,53.33,100,100,[]
HYDRALAZINE,HEART FAILURE,6,175,3.31,96.69,100,100,"['NCT06218199', 'NCT03514108', 'NCT01822808', 'NCT01516346', 'NCT04217135', 'NCT01255475']"
APOHYDRALAZINE,HEART FAILURE,32,0,100,0,100,-1,[]
ALBUMIN HUMAN 25% SOLUTION USP  IV,HEART FAILURE,20,0,100,0,100,-1,[]
EPLERENONE,HEART FAILURE,55,85,39.29,60.71,100,92.94,"['NCT01115855', 'NCT00391846', 'NCT00232180', 'NCT00505336', 'NCT01586442', 'NCT04697485', 'NCT01807221', 'NCT03342690', 'NCT00293150', 'NCT00082589', 'NCT03984591', 'NCT01955694', 'NCT03923530', 'NCT06117722', 'NCT00108251']"
ENALAPRIL SODIUM,HEART FAILURE,28,120,18.92,81.08,89.29,100,[]
"ATORVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL",HEART FAILURE,48,59,44.86,55.14,93.75,84.75,[]
CLOPIDOGREL,HEART FAILURE,5,42,10.64,89.36,100,100,"['NCT01765400', 'NCT00007683']"
TEVASPIRONOLACTONE,HEART FAILURE,18,12,60,40,100,91.67,[]
STUDY DRUG,HEART FAILURE,4,36,10,90,100,100,['NCT05553886']
TRANDOLAPRIL,HEART FAILURE,7,20,25.93,74.07,0,90,"['NCT00391846', 'NCT01437371']"
NITROGLYCERIN,HEART FAILURE,57,120,32.2,67.8,91.23,94.17,"['NCT00842023', 'NCT03357731']"
ATORVASTATIN,HEART FAILURE,152,195,43.8,56.2,100,99.49,"['NCT03186404', 'NCT03255044', 'NCT00233480', 'NCT06312748', 'NCT00505336', 'NCT01503671', 'NCT00585611', 'NCT05072054', 'NCT02943590', 'NCT00795912', 'NCT01925937']"
MYLANNITRO PATCH 0.4 0.4MG/HOUR RATED RELEASE IN VIVO,HEART FAILURE,9,11,45,55,44.44,27.27,[]
CANDESARTAN AND AMLODIPINE,HEART FAILURE,22,83,20.95,79.05,100,96.39,[]
APOBISOPROLOL,HEART FAILURE,3,10,23.08,76.92,0,100,[]
AMLODIPINE BESYLATE,HEART FAILURE,16,4,80,20,100,100,['NCT04434664']
SACUBITRIL / VALSARTAN,HEART FAILURE,2344,8524,21.57,78.43,98.81,98.98,"['NCT03553303', 'NCT04218435', 'NCT05117736', 'NCT05881720', 'NCT05508035', 'NCT04572724', 'NCT04458285']"
DILTIAZEM,HEART FAILURE,8,17,32,68,100,100,"['NCT05745337', 'NCT02938260']"
IVABRADINE,HEART FAILURE,9,16,36,64,100,100,"['NCT00202579', 'NCT04405804', 'NCT02046044', 'NCT02973594', 'NCT04308031', 'NCT02188082', 'NCT03710057', 'NCT02086422', 'NCT05594342', 'NCT03387605', 'NCT03650205', 'NCT02247245', 'NCT02236247', 'NCT00757055', 'NCT03168529', 'NCT01868880', 'NCT03701880', 'NCT02166060', 'NCT02354573', 'NCT03830957', 'NCT01373619', 'NCT02441218', 'NCT04448899', 'NCT02827500', 'NCT03456856', 'NCT01796093', 'NCT01178528', 'NCT03631654']"
MINTEPLERENONE,HEART FAILURE,7,14,33.33,66.67,42.86,71.43,[]
CANDESARTAN CILEXETIL,HEART FAILURE,29,75,27.88,72.12,89.66,100,['NCT00679484']
BISOPROLOL AND ACETYLSALICYLIC ACID,HEART FAILURE,213,187,53.25,46.75,99.06,96.26,[]
NITRODUR,HEART FAILURE,24,0,100,0,100,-1,[]
PERINDOPRIL ERBUMINE,HEART FAILURE,78,4,95.12,4.88,96.15,100,[]
DOBUTAMINE,HEART FAILURE,16,0,100,0,100,-1,"['NCT03727282', 'NCT02767024', 'NCT00074724', 'NCT05700617', 'NCT01354613', 'NCT05594342', 'NCT05797584', 'NCT00338455', 'NCT00281255', 'NCT00348504', 'NCT01042873', 'NCT01375335', 'NCT01930734', 'NCT02888561']"
ACEBUTOLOL / HYDROCHLOROTHIAZIDE,HEART FAILURE,11,5,68.75,31.25,0,100,[]
DAPAGLIFLOZIN / METFORMIN,HEART FAILURE,33,106,23.74,76.26,66.67,100,[]
AMLODIPINE,HEART FAILURE,2,65,2.99,97.01,100,100,"['NCT04434664', 'NCT00151619', 'NCT01354613', 'NCT00000542', 'NCT01255475']"
MILRINONE,HEART FAILURE,26,24,52,48,92.31,100,"['NCT02077010', 'NCT05700617', 'NCT01956006', 'NCT02408003', 'NCT00338455', 'NCT01849094', 'NCT05450328']"
AMIODARONE HYDROCHLORIDE,HEART FAILURE,29,179,13.94,86.06,100,100,[]
(S)-WARFARIN,HEART FAILURE,2,70,2.78,97.22,100,100,[]
DAPAGLIFLOZIN,HEART FAILURE,30,239,11.15,88.85,70,100,"['NCT06012279', 'NCT05676684', 'NCT02397421', 'NCT04385589', 'NCT06442280', 'NCT04304560', 'NCT04570865', 'NCT06434025', 'NCT03036124', 'NCT04869124', 'NCT03877224', 'NCT06365541', 'NCT03619213', 'NCT05330013', 'NCT04475042', 'NCT04564742', 'NCT04595370', 'NCT04575675', 'NCT06201000', 'NCT03877237', 'NCT04249778', 'NCT05250011', 'NCT05406505', 'NCT04730947', 'NCT04778787', 'NCT05776043', 'NCT05618223', 'NCT05719714', 'NCT04298229', 'NCT06065280', 'NCT05374291', 'NCT02653482', 'NCT06012266', 'NCT06304857', 'NCT04591639', 'NCT04200586', 'NCT04717986', 'NCT03030235', 'NCT05741658', 'NCT05550441', 'NCT04080518', 'NCT05795400', 'NCT05759000', 'NCT06307652', 'NCT04707352', 'NCT04739215', 'NCT05420285', 'NCT04640493', 'NCT04860011', 'NCT04707261', 'NCT04363697', 'NCT04782245', 'NCT05816733']"
ASPIRIN,HEART FAILURE,20,176,10.2,89.8,100,96.02,"['NCT01650792', 'NCT01534026', 'NCT06082063', 'NCT04069156', 'NCT00007683']"
LASIX                              ,HEART FAILURE,8,4,66.67,33.33,100,100,['NCT01210365']
ALBUTEROL,HEART FAILURE,0,13,0,100,-1,100,"['NCT02885636', 'NCT01375361']"
BISOPROLOL AND AMLODIPINE,HEART FAILURE,8,15,34.78,65.22,25,100,[]
SENNOSIDE B,HEART FAILURE,9,21,30,70,100,100,[]
SILDENAFIL,HEART FAILURE,14,48,22.58,77.42,100,0,"['NCT00309790', 'NCT01046838', 'NCT00793338', 'NCT00781508', 'NCT01616381', 'NCT00407446', 'NCT00818701', 'NCT01156636', 'NCT01936350', 'NCT00763867', 'NCT00975494', 'NCT01185925', 'NCT00309816', 'NCT01726049', 'NCT03460470', 'NCT02304705', 'NCT03356353']"
LISINOPRIL,HEART FAILURE,14,0,100,0,100,-1,"['NCT00773084', 'NCT00123903', 'NCT00391846', 'NCT00292162', 'NCT03392740', 'NCT00000542', 'NCT01437371', 'NCT03422705']"
EMPAGLIFLOZIN / METFORMIN,HEART FAILURE,42,6,87.5,12.5,100,100,[]
KDUR,HEART FAILURE,24,12,66.67,33.33,100,100,[]
ROSUVASTATIN AND ACETYLSALICYLIC ACID,HEART FAILURE,41,62,39.81,60.19,100,100,[]
RIVAROXABAN,HEART FAILURE,29,65,30.85,69.15,100,100,"['NCT03490994', 'NCT03455439', 'NCT01877915', 'NCT02111564']"
LORAZEPAM,HEART FAILURE,0,26,0,100,-1,100,[]
SOTALOL,HEART FAILURE,0,36,0,100,-1,100,[]
ALLOPURINOL,HEART FAILURE,10,13,43.48,56.52,100,100,"['NCT00919243', 'NCT00181155', 'NCT00997542', 'NCT02129764', 'NCT00281255', 'NCT00477789', 'NCT04327024', 'NCT00987415', 'NCT05888233']"
APIXABAN,HEART FAILURE,10,135,6.9,93.1,100,100,"['NCT04696120', 'NCT04865978']"
NOREPINEPHRINE BITARTRATE,HEART FAILURE,14,28,33.33,66.67,100,100,[]
PANTOPRAZOLE,HEART FAILURE,0,36,0,100,-1,100,['NCT00699361']
METFORMIN,HEART FAILURE,18,7,72,28,100,100,"['NCT02797340', 'NCT01690091', 'NCT00473876', 'NCT05093959', 'NCT02810132', 'NCT04549415', 'NCT01217307', 'NCT03331861', 'NCT06080802', 'NCT03514108', 'NCT00325910', 'NCT03122769', 'NCT03629340', 'NCT01425580', 'NCT01122316', 'NCT01573949', 'NCT05177588']"
PRAVASTATIN SODIUM,HEART FAILURE,0,32,0,100,-1,78.12,[]
ISOSORBIDE,HEART FAILURE,0,26,0,100,-1,100,"['NCT06400784', 'NCT06218199', 'NCT03514108', 'NCT01822808', 'NCT01516346', 'NCT05276219', 'NCT02053493']"
CALCIUM CARBONATE / ERGOCALCIFEROL,HEART FAILURE,19,0,100,0,100,-1,[]
APOSILDENAFIL,HEART FAILURE,0,36,0,100,-1,0,[]
HYDROCHLOROTHIAZIDE 25 MG AND METOPROLOL TARTRATE 100 MG ORAL TABLET,HEART FAILURE,11,59,15.71,84.29,100,100,[]
FUROSEMIDE/POTASSIUM CHLORIDE,HEART FAILURE,19,174,9.84,90.16,100,100,[]
AZITHROMYCIN,HEART FAILURE,0,28,0,100,-1,100,[]
NITROFURANTOIN,HEART FAILURE,0,13,0,100,-1,100,[]
EZETIMIBE,HEART FAILURE,14,29,32.56,67.44,100,75.86,[]
ISOSORBIDE DINITRATE,HEART FAILURE,10,6,62.5,37.5,100,100,"['NCT06400784', 'NCT06218199', 'NCT03514108', 'NCT01822808', 'NCT01516346', 'NCT05276219']"
COLACE,HEART FAILURE,0,16,0,100,-1,100,[]
WARFARIN,HEART FAILURE,0,16,0,100,-1,100,"['NCT03490994', 'NCT03704220', 'NCT03078374', 'NCT03781258', 'NCT04865978', 'NCT02836652', 'NCT00007683']"
BISOPROLOL / HYDROCHLOROTHIAZIDE,HEART FAILURE,0,22,0,100,-1,100,[]
SUCABITRIL VALSARTAN SODIUM HYDRATE,HEART FAILURE,119,81,59.5,40.5,100,100,[]
LASIX FUROSEMIDE,HEART FAILURE,103,30,77.44,22.56,100,100,[]
SPIRINOLACTONE,HEART FAILURE,0,22,0,100,-1,100,[]
GAMMAGARD LIQUID ALSO KNOW AS IMMUNE GLOBULIN HUMAN,HEART FAILURE,0,12,0,100,-1,100,[]
AMILORIDE / HYDROCHLOROTHIAZIDE,HEART FAILURE,19,0,100,0,100,-1,[]
DICLOFENAC,HEART FAILURE,0,15,0,100,-1,0,[]
ALISKIREN / AMLODIPINE,HEART FAILURE,0,75,0,100,-1,100,[]
METOPROLOL FUMARATE,HEART FAILURE,0,45,0,100,-1,100,[]
NADOLOL,HEART FAILURE,36,0,100,0,100,-1,[]
COVERSYL PERINDOPRIL ERBUMINE,HEART FAILURE,14,0,100,0,100,-1,[]
NITROGEN,HEART FAILURE,11,0,100,0,72.73,-1,['NCT00060840']
CAPTOPRIL,HYPERTENSION,52,18,74.29,25.71,100,88.89,"['NCT06292091', 'NCT01292694', 'NCT00223717', 'NCT02217852', 'NCT00935805', 'NCT03147092', 'NCT04371874', 'NCT03179163', 'NCT06141200', 'NCT00240656']"
DIOVANHCT,HYPERTENSION,59,23,71.95,28.05,100,95.65,[]
